All Order,Order per task,Code snippet,Participant,Task,Participant/Task,Task Duration,Understand,Correntness,Level of investment,Rough Direction,Statement Selection,Code Interaction,"Level of investment, Rough Direction","Level of investment, Statement Selection","Level of investment, Code Interaction","Rough Direction, Statement Selection","Rough Direction, Code Interaction","Statement Selection, Code Interaction","Level of investment, Rough Direction, Statement Selection","Level of investment, Rough Direction, Code Interaction","Level of investment, Statement Selection, Code Interaction","Rough Direction, Statement Selection, Code Interaction","Level of investment, Rough Direction, Statement Selection, Code Interaction",Time,Start,Stop,Block Duration,%(Block Duration),Intent
201,3,Money Class,83,1,83/1,50,1,1,Indepth,Forward,Dynamic,,"Indepth, Forward","Indepth, Dynamic",,"Forward, Dynamic",,,"Indepth, Forward, Dynamic",,,,,26-41,26,41,15,0.3,Formulate a hypothesis of the problematic area (PA)
202,4,Money Class,83,1,83/1,50,1,1,Quick,Backward,Dynamic,,"Quick, Backward","Quick, Dynamic",,"Backward, Dynamic",,,"Quick, Backward, Dynamic",,,,,41-50,41,50,9,0.18,Validate the hypothesis of PA
204,2,Rectangle,86,3,86/3,193,0.75,1,Medium,Forward,Dynamic,Intra procedure,"Medium, Forward","Medium, Dynamic","Medium, Intra procedure","Forward, Dynamic","Forward, Intra procedure","Dynamic, Intra procedure","Medium, Forward, Dynamic","Medium, Forward, Intra procedure","Medium, Dynamic, Intra procedure","Forward, Dynamic, Intra procedure","Medium, Forward, Dynamic, Intra procedure",8-26,8,26,18,0.0932642487,Get the understanding of a part of code block
206,4,Rectangle,86,3,86/3,193,0.75,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",52-60,52,60,8,0.0414507772,Get the understanding of a part of code block
207,5,Rectangle,86,3,86/3,193,0.75,1,Medium,Back and forth the order of denifition,Dynamic,Inter procedure,"Medium, Back and forth the order of denifition","Medium, Dynamic","Medium, Inter procedure","Back and forth the order of denifition, Dynamic","Back and forth the order of denifition, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic","Medium, Back and forth the order of denifition, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth the order of denifition, Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic, Inter procedure",60-86,60,86,26,0.1347150259,Get the understanding of a part of code block
208,6,Rectangle,86,3,86/3,193,0.75,1,Medium,Forward,Dynamic,Intra procedure,"Medium, Forward","Medium, Dynamic","Medium, Intra procedure","Forward, Dynamic","Forward, Intra procedure","Dynamic, Intra procedure","Medium, Forward, Dynamic","Medium, Forward, Intra procedure","Medium, Dynamic, Intra procedure","Forward, Dynamic, Intra procedure","Medium, Forward, Dynamic, Intra procedure",86-108,86,108,22,0.1139896373,Get the understanding of a part of code block
209,7,Rectangle,86,3,86/3,193,0.75,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",108-144,108,144,36,0.1865284974,Formulate a hypothesis of the problematic area (PA)
210,8,Rectangle,86,3,86/3,193,0.75,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",144-193,144,193,49,0.2538860104,Validate the hypothesis of PA
211,1,Money Class,86,1,86/1,196,0.75,0,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,0-20,0,20,20,0.1020408163,Get the deeper understanding of the code
212,2,Money Class,86,1,86/1,196,0.75,0,Indepth,Forward,Dynamic,,"Indepth, Forward","Indepth, Dynamic",,"Forward, Dynamic",,,"Indepth, Forward, Dynamic",,,,,20-42,20,42,22,0.112244898,Get the understanding of a part of code block
213,3,Money Class,86,1,86/1,196,0.75,0,Indepth,Forward,Dynamic,,"Indepth, Forward","Indepth, Dynamic",,"Forward, Dynamic",,,"Indepth, Forward, Dynamic",,,,,42-118,42,118,76,0.387755102,Get the understanding of a part of code block
214,4,Money Class,86,1,86/1,196,0.75,0,Indepth,Forward,Dynamic,,"Indepth, Forward","Indepth, Dynamic",,"Forward, Dynamic",,,"Indepth, Forward, Dynamic",,,,,118-160,118,160,42,0.2142857143,Formulate a hypothesis of the problematic area (PA)
215,5,Money Class,86,1,86/1,196,0.75,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,160-196,160,196,36,0.1836734694,Validate the hypothesis of PA
216,1,Rectangle,93,1,93/1,115,0.5,0,Medium,Reverse the order of definition,Dynamic,Inter procedure,"Medium, Reverse the order of definition","Medium, Dynamic","Medium, Inter procedure","Reverse the order of definition, Dynamic","Reverse the order of definition, Inter procedure","Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic","Medium, Reverse the order of definition, Inter procedure","Medium, Dynamic, Inter procedure","Reverse the order of definition, Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic, Inter procedure",0-11,0,11,11,0.09565217391,Get the deeper understanding of the code
217,2,Rectangle,93,1,93/1,115,0.5,0,Medium,In the order of definition,Linear,Inter procedure,"Medium, In the order of definition","Medium, Linear","Medium, Inter procedure","In the order of definition, Linear","In the order of definition, Inter procedure","Linear, Inter procedure","Medium, In the order of definition, Linear","Medium, In the order of definition, Inter procedure","Medium, Linear, Inter procedure","In the order of definition, Linear, Inter procedure","Medium, In the order of definition, Linear, Inter procedure",11-19,11,19,8,0.06956521739,Get the understanding of a part of code block
218,3,Rectangle,93,1,93/1,115,0.5,0,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",19-38,19,38,19,0.1652173913,Understand the method call progression
219,4,Rectangle,93,1,93/1,115,0.5,0,Medium,Backward,Dynamic,Inter procedure,"Medium, Backward","Medium, Dynamic","Medium, Inter procedure","Backward, Dynamic","Backward, Inter procedure","Dynamic, Inter procedure","Medium, Backward, Dynamic","Medium, Backward, Inter procedure","Medium, Dynamic, Inter procedure","Backward, Dynamic, Inter procedure","Medium, Backward, Dynamic, Inter procedure",38-52,38,52,14,0.1217391304,Understand the problem output
220,5,Rectangle,93,1,93/1,115,0.5,0,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",52-86,52,86,34,0.2956521739,Understand the method call progression
221,6,Rectangle,93,1,93/1,115,0.5,0,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",86-97,86,97,11,0.09565217391,Formulate a hypothesis of the problematic area (PA)
222,7,Rectangle,93,1,93/1,115,0.5,0,Medium,Back and forth the order of denifition,Dynamic,Inter procedure,"Medium, Back and forth the order of denifition","Medium, Dynamic","Medium, Inter procedure","Back and forth the order of denifition, Dynamic","Back and forth the order of denifition, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic","Medium, Back and forth the order of denifition, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth the order of denifition, Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic, Inter procedure",97-115,97,115,18,0.1565217391,Validate the hypothesis of PA
224,2,Rectangle,105,1,105/1,89,1,1,Indepth,In the order of definition,Linear,Intra procedure,"Indepth, In the order of definition","Indepth, Linear","Indepth, Intra procedure","In the order of definition, Linear","In the order of definition, Intra procedure","Linear, Intra procedure","Indepth, In the order of definition, Linear","Indepth, In the order of definition, Intra procedure","Indepth, Linear, Intra procedure","In the order of definition, Linear, Intra procedure","Indepth, In the order of definition, Linear, Intra procedure",5-15,5,15,10,0.1123595506,Get the understanding of a part of code block
225,3,Rectangle,105,1,105/1,89,1,1,Quick,Back and forth the order of denifition,Dynamic,Inter procedure,"Quick, Back and forth the order of denifition","Quick, Dynamic","Quick, Inter procedure","Back and forth the order of denifition, Dynamic","Back and forth the order of denifition, Inter procedure","Dynamic, Inter procedure","Quick, Back and forth the order of denifition, Dynamic","Quick, Back and forth the order of denifition, Inter procedure","Quick, Dynamic, Inter procedure","Back and forth the order of denifition, Dynamic, Inter procedure","Quick, Back and forth the order of denifition, Dynamic, Inter procedure",15-26,15,26,11,0.1235955056,Get a quick overview of the code
226,4,Rectangle,105,1,105/1,89,1,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",26-45,26,45,19,0.2134831461,Get the deeper understanding of the code
227,5,Rectangle,105,1,105/1,89,1,1,Quick,Back and forth,Dynamic,Inter procedure,"Quick, Back and forth","Quick, Dynamic","Quick, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Quick, Back and forth, Dynamic","Quick, Back and forth, Inter procedure","Quick, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Quick, Back and forth, Dynamic, Inter procedure",45-52,45,52,7,0.07865168539,Get the understanding of a part of code block
228,6,Rectangle,105,1,105/1,89,1,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",52-71,52,71,19,0.2134831461,Formulate a hypothesis of the problematic area (PA)
229,7,Rectangle,105,1,105/1,89,1,1,Quick,Forward,Dynamic,Inter procedure,"Quick, Forward","Quick, Dynamic","Quick, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Quick, Forward, Dynamic","Quick, Forward, Inter procedure","Quick, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Quick, Forward, Dynamic, Inter procedure",71-89,71,89,18,0.202247191,Validate the hypothesis of PA
230,1,Rectangle,90,4,90/4,140,1,1,Medium,In the order of definition,Linear,Inter procedure,"Medium, In the order of definition","Medium, Linear","Medium, Inter procedure","In the order of definition, Linear","In the order of definition, Inter procedure","Linear, Inter procedure","Medium, In the order of definition, Linear","Medium, In the order of definition, Inter procedure","Medium, Linear, Inter procedure","In the order of definition, Linear, Inter procedure","Medium, In the order of definition, Linear, Inter procedure",0-3,0,3,3,0.02142857143,Get the understanding of a part of code block
231,2,Rectangle,90,4,90/4,140,1,1,Indepth,Forward,Linear,Intra procedure,"Indepth, Forward","Indepth, Linear","Indepth, Intra procedure","Forward, Linear","Forward, Intra procedure","Linear, Intra procedure","Indepth, Forward, Linear","Indepth, Forward, Intra procedure","Indepth, Linear, Intra procedure","Forward, Linear, Intra procedure","Indepth, Forward, Linear, Intra procedure",3-18,3,18,15,0.1071428571,Get the understanding of a part of code block
232,3,Rectangle,90,4,90/4,140,1,1,Quick,Reverse the order of definition,Dynamic,Inter procedure,"Quick, Reverse the order of definition","Quick, Dynamic","Quick, Inter procedure","Reverse the order of definition, Dynamic","Reverse the order of definition, Inter procedure","Dynamic, Inter procedure","Quick, Reverse the order of definition, Dynamic","Quick, Reverse the order of definition, Inter procedure","Quick, Dynamic, Inter procedure","Reverse the order of definition, Dynamic, Inter procedure","Quick, Reverse the order of definition, Dynamic, Inter procedure",18-23,18,23,5,0.03571428571,Get a quick overview of the code
233,4,Rectangle,90,4,90/4,140,1,1,Indepth,Forward,Dynamic,Intra procedure,"Indepth, Forward","Indepth, Dynamic","Indepth, Intra procedure","Forward, Dynamic","Forward, Intra procedure","Dynamic, Intra procedure","Indepth, Forward, Dynamic","Indepth, Forward, Intra procedure","Indepth, Dynamic, Intra procedure","Forward, Dynamic, Intra procedure","Indepth, Forward, Dynamic, Intra procedure",23-41,23,41,18,0.1285714286,Get the understanding of a part of code block
234,5,Rectangle,90,4,90/4,140,1,1,Indepth,Backward,Dynamic,Inter procedure,"Indepth, Backward","Indepth, Dynamic","Indepth, Inter procedure","Backward, Dynamic","Backward, Inter procedure","Dynamic, Inter procedure","Indepth, Backward, Dynamic","Indepth, Backward, Inter procedure","Indepth, Dynamic, Inter procedure","Backward, Dynamic, Inter procedure","Indepth, Backward, Dynamic, Inter procedure",41-78,41,78,37,0.2642857143,Understand the method call progression
235,6,Rectangle,90,4,90/4,140,1,1,Medium,In the order of definition,Dynamic,Inter procedure,"Medium, In the order of definition","Medium, Dynamic","Medium, Inter procedure","In the order of definition, Dynamic","In the order of definition, Inter procedure","Dynamic, Inter procedure","Medium, In the order of definition, Dynamic","Medium, In the order of definition, Inter procedure","Medium, Dynamic, Inter procedure","In the order of definition, Dynamic, Inter procedure","Medium, In the order of definition, Dynamic, Inter procedure",78-86,78,86,8,0.05714285714,Get the deeper understanding of the code
236,7,Rectangle,90,4,90/4,140,1,1,Medium,Reverse the order of definition,Dynamic,Inter procedure,"Medium, Reverse the order of definition","Medium, Dynamic","Medium, Inter procedure","Reverse the order of definition, Dynamic","Reverse the order of definition, Inter procedure","Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic","Medium, Reverse the order of definition, Inter procedure","Medium, Dynamic, Inter procedure","Reverse the order of definition, Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic, Inter procedure",86-116,86,116,30,0.2142857143,Understand the method call progression
237,8,Rectangle,90,4,90/4,140,1,1,Medium,In the order of definition,Dynamic,Inter procedure,"Medium, In the order of definition","Medium, Dynamic","Medium, Inter procedure","In the order of definition, Dynamic","In the order of definition, Inter procedure","Dynamic, Inter procedure","Medium, In the order of definition, Dynamic","Medium, In the order of definition, Inter procedure","Medium, Dynamic, Inter procedure","In the order of definition, Dynamic, Inter procedure","Medium, In the order of definition, Dynamic, Inter procedure",116-121,116,121,5,0.03571428571,Formulate a hypothesis of the problematic area (PA)
238,9,Rectangle,90,4,90/4,140,1,1,Medium,In the order of definition,Dynamic,Inter procedure,"Medium, In the order of definition","Medium, Dynamic","Medium, Inter procedure","In the order of definition, Dynamic","In the order of definition, Inter procedure","Dynamic, Inter procedure","Medium, In the order of definition, Dynamic","Medium, In the order of definition, Inter procedure","Medium, Dynamic, Inter procedure","In the order of definition, Dynamic, Inter procedure","Medium, In the order of definition, Dynamic, Inter procedure",121-140,121,140,19,0.1357142857,Validate the hypothesis of PA
240,2,Number HRN,70,2,70/2,412,0,0,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,15-82,15,82,67,0.1626213592,Get the understanding of a part of code block
241,4,Number HRN,70,2,70/2,412,0,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,82-140,82,140,58,0.140776699,Get the deeper understanding of the code
242,5,Number HRN,70,2,70/2,412,0,0,Quick,Back and forth,Dynamic,,"Quick, Back and forth","Quick, Dynamic",,"Back and forth, Dynamic",,,"Quick, Back and forth, Dynamic",,,,,140-162,140,162,22,0.05339805825,Get a quick overview of the code
243,6,Number HRN,70,2,70/2,412,0,0,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,162-212,162,212,50,0.1213592233,Get the understanding of a part of code block
244,7,Number HRN,70,2,70/2,412,0,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,212-265,212,265,53,0.1286407767,Get the deeper understanding of the code
245,8,Number HRN,70,2,70/2,412,0,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,265-315,265,315,50,0.1213592233,Understand the problem output
246,9,Number HRN,70,2,70/2,412,0,0,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,315-352,315,352,37,0.08980582524,Get the understanding of a part of code block
247,10,Number HRN,70,2,70/2,412,0,0,Quick,Forward,Linear,,"Quick, Forward","Quick, Linear",,"Forward, Linear",,,"Quick, Forward, Linear",,,,,352-375,352,375,23,0.05582524272,Get the understanding of a part of code block
248,11,Number HRN,70,2,70/2,412,0,0,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,375-412,375,412,37,0.08980582524,Formulate a hypothesis of the problematic area (PA)
250,2,Number HRD,71,1,71/1,230,1,1,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,15-35,15,35,20,0.08695652174,Get the understanding of a part of code block
251,3,Number HRD,71,1,71/1,230,1,1,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,35-78,35,78,43,0.1869565217,Get the understanding of a part of code block
252,4,Number HRD,71,1,71/1,230,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,78-128,78,128,50,0.2173913043,Get the deeper understanding of the code
254,6,Number HRD,71,1,71/1,230,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,148-168,148,168,20,0.08695652174,Get the understanding of a part of code block
257,9,Number HRD,71,1,71/1,230,1,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,210-217,210,217,7,0.03043478261,Formulate a hypothesis of the problematic area (PA)
259,2,Insertion Sort,95,4,95/4,374,0.5,0,Indepth,Forward,Dynamic,Intra procedure,"Indepth, Forward","Indepth, Dynamic","Indepth, Intra procedure","Forward, Dynamic","Forward, Intra procedure","Dynamic, Intra procedure","Indepth, Forward, Dynamic","Indepth, Forward, Intra procedure","Indepth, Dynamic, Intra procedure","Forward, Dynamic, Intra procedure","Indepth, Forward, Dynamic, Intra procedure",13-32,13,32,19,0.05080213904,Get the understanding of a part of code block
260,3,Insertion Sort,95,4,95/4,374,0.5,0,Medium,Back and forth,Linear,Intra procedure,"Medium, Back and forth","Medium, Linear","Medium, Intra procedure","Back and forth, Linear","Back and forth, Intra procedure","Linear, Intra procedure","Medium, Back and forth, Linear","Medium, Back and forth, Intra procedure","Medium, Linear, Intra procedure","Back and forth, Linear, Intra procedure","Medium, Back and forth, Linear, Intra procedure",32-74,32,74,42,0.1122994652,Get the understanding of a part of code block
261,4,Insertion Sort,95,4,95/4,374,0.5,0,Medium,Back and forth the order of denifition,Dynamic,Inter procedure,"Medium, Back and forth the order of denifition","Medium, Dynamic","Medium, Inter procedure","Back and forth the order of denifition, Dynamic","Back and forth the order of denifition, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic","Medium, Back and forth the order of denifition, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth the order of denifition, Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic, Inter procedure",74-98,74,98,24,0.06417112299,Get the understanding of a part of code block
264,7,Insertion Sort,95,4,95/4,374,0.5,0,Medium,In the order of definition,Dynamic,Inter procedure,"Medium, In the order of definition","Medium, Dynamic","Medium, Inter procedure","In the order of definition, Dynamic","In the order of definition, Inter procedure","Dynamic, Inter procedure","Medium, In the order of definition, Dynamic","Medium, In the order of definition, Inter procedure","Medium, Dynamic, Inter procedure","In the order of definition, Dynamic, Inter procedure","Medium, In the order of definition, Dynamic, Inter procedure",164-315,164,315,151,0.4037433155,Get the deeper understanding of the code
265,8,Insertion Sort,95,4,95/4,374,0.5,0,Quick,In the order of definition,Dynamic,Inter procedure,"Quick, In the order of definition","Quick, Dynamic","Quick, Inter procedure","In the order of definition, Dynamic","In the order of definition, Inter procedure","Dynamic, Inter procedure","Quick, In the order of definition, Dynamic","Quick, In the order of definition, Inter procedure","Quick, Dynamic, Inter procedure","In the order of definition, Dynamic, Inter procedure","Quick, In the order of definition, Dynamic, Inter procedure",315-368,315,368,53,0.1417112299,Get a quick overview of the code
266,1,Rectangle,98,4,98/4,55,0.5,0,Quick,Forward,Linear,Inter procedure,"Quick, Forward","Quick, Linear","Quick, Inter procedure","Forward, Linear","Forward, Inter procedure","Linear, Inter procedure","Quick, Forward, Linear","Quick, Forward, Inter procedure","Quick, Linear, Inter procedure","Forward, Linear, Inter procedure","Quick, Forward, Linear, Inter procedure",0-18,0,18,18,0.3272727273,Get the understanding of a part of code block
267,2,Rectangle,98,4,98/4,55,0.5,0,Indepth,Reverse the order of definition,Dynamic,Inter procedure,"Indepth, Reverse the order of definition","Indepth, Dynamic","Indepth, Inter procedure","Reverse the order of definition, Dynamic","Reverse the order of definition, Inter procedure","Dynamic, Inter procedure","Indepth, Reverse the order of definition, Dynamic","Indepth, Reverse the order of definition, Inter procedure","Indepth, Dynamic, Inter procedure","Reverse the order of definition, Dynamic, Inter procedure","Indepth, Reverse the order of definition, Dynamic, Inter procedure",18-24,18,24,6,0.1090909091,Get the understanding of a part of code block
268,3,Rectangle,98,4,98/4,55,0.5,0,Indepth,Forward,Linear,Intra procedure,"Indepth, Forward","Indepth, Linear","Indepth, Intra procedure","Forward, Linear","Forward, Intra procedure","Linear, Intra procedure","Indepth, Forward, Linear","Indepth, Forward, Intra procedure","Indepth, Linear, Intra procedure","Forward, Linear, Intra procedure","Indepth, Forward, Linear, Intra procedure",24-29,24,29,5,0.09090909091,Get the understanding of a part of code block
269,4,Rectangle,98,4,98/4,55,0.5,0,Indepth,Forward,Dynamic,Inter procedure,"Indepth, Forward","Indepth, Dynamic","Indepth, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Indepth, Forward, Dynamic","Indepth, Forward, Inter procedure","Indepth, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Indepth, Forward, Dynamic, Inter procedure",29-38,29,38,9,0.1636363636,Formulate a hypothesis of the problematic area (PA)
270,5,Rectangle,98,4,98/4,55,0.5,0,Quick,Forward,Dynamic,Inter procedure,"Quick, Forward","Quick, Dynamic","Quick, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Quick, Forward, Dynamic","Quick, Forward, Inter procedure","Quick, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Quick, Forward, Dynamic, Inter procedure",38-55,38,55,17,0.3090909091,Validate the hypothesis of PA
272,2,Graph Utils,48,3,48/3,290,0.75,0,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,40-72,40,72,32,0.1103448276,Get the deeper understanding of the code
273,3,Graph Utils,48,3,48/3,290,0.75,0,Medium,Backward,Dynamic,,"Medium, Backward","Medium, Dynamic",,"Backward, Dynamic",,,"Medium, Backward, Dynamic",,,,,72-95,72,95,23,0.07931034483,Get the understanding of a part of code block
274,4,Graph Utils,48,3,48/3,290,0.75,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,95-148,95,148,53,0.1827586207,Get the deeper understanding of the code
275,5,Graph Utils,48,3,48/3,290,0.75,0,Quick,Backward,Dynamic,,"Quick, Backward","Quick, Dynamic",,"Backward, Dynamic",,,"Quick, Backward, Dynamic",,,,,148-169,148,169,21,0.0724137931,Get a quick overview of the code
277,7,Graph Utils,48,3,48/3,290,0.75,0,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,192-228,192,228,36,0.124137931,Get the deeper understanding of the code
278,8,Graph Utils,48,3,48/3,290,0.75,0,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,228-240,228,240,12,0.04137931034,Get the understanding of a part of code block
279,9,Graph Utils,48,3,48/3,290,0.75,0,Quick,Back and forth,Dynamic,,"Quick, Back and forth","Quick, Dynamic",,"Back and forth, Dynamic",,,"Quick, Back and forth, Dynamic",,,,,240-290,240,290,50,0.1724137931,Get a quick overview of the code
281,2,Graph Utils,51,1,51/1,475,1,0,Indepth,Forward,Linear,,"Indepth, Forward","Indepth, Linear",,"Forward, Linear",,,"Indepth, Forward, Linear",,,,,40-80,40,80,40,0.08421052632,Get the understanding of a part of code block
282,3,Graph Utils,51,1,51/1,475,1,0,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,80-115,80,115,35,0.07368421053,Get the deeper understanding of the code
284,5,Graph Utils,51,1,51/1,475,1,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,260-340,260,340,80,0.1684210526,Get the deeper understanding of the code
285,6,Graph Utils,51,1,51/1,475,1,0,Indepth,Forward,Linear,,"Indepth, Forward","Indepth, Linear",,"Forward, Linear",,,"Indepth, Forward, Linear",,,,,340-350,340,350,10,0.02105263158,Formulate a hypothesis of the problematic area (PA)
286,7,Graph Utils,51,1,51/1,475,1,0,Medium,Backward,Dynamic,,"Medium, Backward","Medium, Dynamic",,"Backward, Dynamic",,,"Medium, Backward, Dynamic",,,,,350-380,350,380,30,0.06315789474,Get the understanding of a part of code block
287,8,Graph Utils,51,1,51/1,475,1,0,Indepth,Back and forth,Dynamic,,"Indepth, Back and forth","Indepth, Dynamic",,"Back and forth, Dynamic",,,"Indepth, Back and forth, Dynamic",,,,,380-440,380,440,60,0.1263157895,Get the understanding of a part of code block
288,9,Graph Utils,51,1,51/1,475,1,0,Medium,Backward,Dynamic,,"Medium, Backward","Medium, Dynamic",,"Backward, Dynamic",,,"Medium, Backward, Dynamic",,,,,440-475,440,475,35,0.07368421053,Get the deeper understanding of the code
290,2,Graph Utils,52,3,52/3,150,1,0,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,38-48,38,48,10,0.06666666667,Get the deeper understanding of the code
